anime_id,Name,Score,Genres,Type,Episodes,Members
131,Saiyuuki Reload Gunlock,7.37,"Action, Adventure, Comedy, Drama, Supernatural",TV,26.0,22999
132,GetBackers,7.58,"Action, Mystery, Supernatural",TV,49.0,119875
133,Green Green,6.15,"Comedy, Romance, Ecchi",TV,12.0,115548
134,Gunslinger Girl,7.39,"Action, Drama, Sci-Fi",TV,13.0,185016
135,Hikaru no Go,8.08,"Comedy, Drama, Supernatural",TV,75.0,133599
136,Hunter x Hunter,8.41,"Action, Adventure, Fantasy",TV,62.0,564771
137,Hunter x Hunter: Original Video Animation,8.31,"Action, Adventure, Fantasy",OVA,8.0,122636
138,Hunter x Hunter: Greed Island,8.18,"Action, Adventure, Fantasy",OVA,8.0,150175
139,Hunter x Hunter: Greed Island Final,8.25,"Action, Adventure, Fantasy",OVA,14.0,139464
141,Jinki:Extend,6.1,Sci-Fi,TV,12.0,11401
142,Kamikaze Kaitou Jeanne,7.46,"Action, Drama, Mystery, Romance, Supernatural",TV,44.0,54889
143,Kannazuki no Miko,6.81,"Drama, Girls Love, Romance, Supernatural",TV,12.0,69192
144,Kanon,7.07,"Drama, Romance, Supernatural",TV,13.0,64293
145,Kareshi Kanojo no Jijou,7.59,"Comedy, Drama, Romance",TV,26.0,220497
146,Kono Minikuku mo Utsukushii Sekai,6.71,"Comedy, Drama, Romance, Sci-Fi, Ecchi",TV,12.0,59737
147,Kimi ga Nozomu Eien,7.18,"Drama, Romance",TV,14.0,139156
148,Kita e.: Diamond Dust Drops,6.56,"Drama, Romance",TV,12.0,9050
149,Loveless,6.76,"Action, Boys Love, Drama, Mystery, Supernatural",TV,12.0,137813
150,Blood+,7.62,"Action, Drama, Horror, Mystery, Supernatural",TV,50.0,367577
151,Re: Cutey Honey,7.1,"Action, Comedy, Girls Love, Sci-Fi, Ecchi",OVA,3.0,28103
152,Solty Rei,7.27,"Action, Sci-Fi",TV,24.0,29283
153,Juuni Kokuki,8.02,"Action, Adventure, Fantasy",TV,45.0,144333
154,Shaman King,7.75,"Action, Adventure, Comedy, Supernatural",TV,64.0,356061
155,X/1999,6.57,"Action, Drama, Fantasy, Horror, Sci-Fi, Supernatural",Movie,1.0,36913
156,X,7.4,"Action, Drama, Fantasy, Romance",TV,24.0,80243
157,Mahou Sensei Negima!,6.94,"Comedy, Fantasy, Romance, Supernatural, Ecchi",TV,26.0,138093
158,Maria-sama ga Miteru,7.29,"Drama, Girls Love",TV,13.0,67257
159,Boukyaku no Senritsu,6.28,"Adventure, Fantasy, Horror, Sci-Fi, Supernatural",TV,24.0,18457
160,"Ima, Soko ni Iru Boku",7.61,"Adventure, Drama, Fantasy, Sci-Fi",TV,13.0,138932
161,Peace Maker Kurogane,7.3,"Action, Comedy",TV,24.0,56677
162,Pita Ten,6.93,"Comedy, Fantasy, Romance",TV,26.0,23271
163,Power Stone,6.55,"Adventure, Comedy, Fantasy",TV,26.0,7750
164,Mononoke Hime,8.67,"Action, Adventure, Award Winning, Fantasy",Movie,1.0,1190601
165,RahXephon,7.39,"Action, Award Winning, Drama, Mystery, Romance, Sci-Fi",TV,26.0,116145
166,Samurai 7,7.44,Sci-Fi,TV,26.0,128166
167,Scrapped Princess,7.38,"Adventure, Comedy, Drama, Fantasy, Sci-Fi",TV,24.0,93327
168,s.CRY.ed,7.36,"Action, Adventure, Drama, Sci-Fi",TV,26.0,81088
169,Shingetsutan Tsukihime,6.82,"Action, Horror, Mystery, Romance, Supernatural",TV,12.0,163534
170,Slam Dunk,8.54,Sports,TV,101.0,283226
171,Strange Dawn,6.32,"Adventure, Drama, Fantasy",TV,13.0,5523
173,Tactics,7.2,"Mystery, Supernatural",TV,25.0,40311
174,Tenjou Tenge,6.88,"Action, Comedy, Ecchi",TV,24.0,184419
175,Tokyo Underground,6.59,"Action, Adventure, Romance, Sci-Fi",TV,26.0,28859
